customer_id,loan_id,new_repeat,Funded_date,due_date,loan_duration,loan_amount,to_repay,interest_amount,repaid_amount,loan_balance,last_paid_date
27210,36747,REPEAT,11/16/2018,12/16/2018,30,1750,1975,175,700,1275,11/25/2019
23510,21936,REPEAT,10/5/2018,11/4/2018,30,500,600,50,100,500,5/23/2019
20035,17740,NEW,9/20/2018,10/20/2018,30,500,600,50,200,400,3/25/2019
12293,17142,NEW,9/18/2018,10/18/2018,30,2000,2280,200,48,2232,5/25/2021
1775,5070,REPEAT,8/29/2017,9/28/2017,30,3000,3450,300,1050,2400,9/14/2017
1316,15235,NEW,9/7/2018,10/7/2018,30,2000,2280,200,450,1830,1/22/2020
19483,29751,NEW,10/26/2018,11/25/2018,30,3000,3426,300,1450,1976,10/7/2019
5266,6469,NEW,9/27/2017,10/27/2017,30,3000,3450,300,1050,2400,3/14/2020
21650,51571,REPEAT,1/24/2019,2/23/2019,30,600,710,48,200,510,2/6/2019
9251,11689,NEW,8/17/2018,9/16/2018,30,500,600,50,100,500,11/16/2018
9243,24223,REPEAT,10/12/2018,11/11/2018,30,1000,1150,100,200,950,5/9/2019
54502,48727,NEW,1/5/2019,2/4/2019,30,500,600,40,140,460,5/9/2019
19250,17510,NEW,9/19/2018,10/19/2018,30,2000,2280,200,280,2000,11/19/2020
4209,28078,REPEAT,10/23/2018,11/22/2018,30,6000,6600,450,500,6100,12/7/2018
6406,7871,NEW,11/27/2017,12/27/2017,30,3000,3450,300,350,3100,3/30/2018
44819,75337,REPEAT,9/12/2019,10/12/2019,30,4500,5301,540,500,4801,10/23/2019
11997,11892,NEW,8/19/2018,9/18/2018,30,2000,2280,200,2280,0,9/19/2018
24271,19994,NEW,9/29/2018,10/29/2018,30,2000,2280,200,2280,0,10/24/2018
23268,19845,NEW,9/28/2018,10/28/2018,30,500,600,50,665,0,11/6/2018
67190,53529,NEW,2/8/2019,3/10/2019,30,1500,1700,150,1700,0,2/17/2019
12728,16531,NEW,9/14/2018,10/14/2018,30,500,600,50,600,0,10/13/2018
15299,14341,NEW,9/3/2018,10/3/2018,30,1000,1150,100,1150,0,10/1/2018
22737,18790,NEW,9/25/2018,10/25/2018,30,2000,2280,200,2280,0,10/5/2018
53828,48275,NEW,1/4/2019,2/3/2019,30,500,600,50,600,0,1/10/2019
10380,10959,NEW,8/11/2018,9/10/2018,30,1000,1150,100,1275,0,9/15/2018
20755,17596,NEW,9/19/2018,10/19/2018,30,500,600,50,600,0,10/1/2018
193416,76284,NEW,9/22/2019,10/22/2019,30,500,625,75,625,0,10/7/2019
18930,16594,NEW,9/14/2018,10/14/2018,30,500,600,50,600,0,9/21/2018
23221,21317,NEW,10/4/2018,11/3/2018,30,2000,2280,200,2280,0,11/2/2018
5345,12903,NEW,8/27/2018,9/26/2018,30,2000,2280,200,2280,0,9/27/2018
12871,35111,NEW,11/9/2018,12/9/2018,30,2000,2280,200,2280,0,11/25/2018
77353,67209,NEW,7/12/2019,8/11/2019,30,500,625,75,625,0,7/29/2019
30,10109,NEW,7/12/2018,8/11/2018,30,500,580,50,580,0,7/18/2018
154392,69586,NEW,7/25/2019,8/24/2019,30,500,625,75,625,0,8/8/2019
33575,30170,NEW,10/28/2018,11/27/2018,30,2000,2280,200,2280,0,11/22/2018
28741,24658,NEW,10/13/2018,11/12/2018,30,1500,1700,150,1700,0,11/5/2018
17611,16080,NEW,9/12/2018,10/12/2018,30,500,600,50,600,0,10/8/2018
14196,33834,NEW,11/6/2018,12/6/2018,30,2000,2280,200,2280,0,12/6/2018
11218,11452,NEW,8/15/2018,9/14/2018,30,500,600,50,600,0,8/20/2018
173055,72438,NEW,8/17/2019,9/16/2019,30,500,625,75,625,0,9/6/2019
18754,16458,NEW,9/14/2018,10/14/2018,30,2000,2280,200,2280,0,10/13/2018
13225,12591,NEW,8/25/2018,9/24/2018,30,500,600,50,600,0,9/24/2018
51171,48253,NEW,1/4/2019,2/3/2019,30,1000,1150,100,1150,0,2/7/2019
17733,15664,NEW,9/10/2018,10/10/2018,30,500,600,50,600,0,9/24/2018
22950,19049,NEW,9/26/2018,10/26/2018,30,2000,2280,200,2280,0,10/19/2018
50889,49634,NEW,1/8/2019,2/7/2019,30,2000,2280,200,2280,0,2/4/2019
13403,14909,NEW,9/5/2018,10/5/2018,30,500,600,50,600,0,9/14/2018
60366,51930,NEW,1/27/2019,2/26/2019,30,2000,2280,200,2280,0,2/12/2019
11276,11454,NEW,8/15/2018,9/14/2018,30,500,600,50,600,0,8/23/2018
17005,15199,NEW,9/7/2018,10/7/2018,30,2000,2280,200,2280,0,9/11/2018
21623,49929,NEW,1/9/2019,2/8/2019,30,2000,2280,200,2280,0,1/29/2019
10084,11248,NEW,8/14/2018,9/13/2018,30,500,600,50,600,0,9/14/2018
22470,18612,NEW,9/24/2018,10/24/2018,30,500,600,50,600,0,10/10/2018
18796,16532,NEW,9/14/2018,10/14/2018,30,500,600,50,600,0,9/15/2018
45030,84524,NEW,12/27/2019,1/26/2020,30,500,625,75,625,0,1/10/2020
46809,64980,NEW,7/2/2019,8/1/2019,30,500,625,75,625,0,7/16/2019
11647,11622,NEW,8/16/2018,9/15/2018,30,500,600,50,600,0,8/25/2018
64838,52864,NEW,2/3/2019,3/5/2019,30,1500,1700,150,1700,0,2/27/2019
47984,76605,NEW,9/25/2019,10/25/2019,30,500,625,75,625,0,10/5/2019
22842,18806,NEW,9/25/2018,10/25/2018,30,2000,2280,200,2280,0,10/8/2018
45645,51975,NEW,1/27/2019,2/26/2019,30,1500,1700,150,1700,0,2/12/2019
